City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Hit,IQ,2021-10-03 15:58:37,33.6416,42.8251,89.35,23,0,10.87
229,Waipawa,NZ,2021-10-03 15:58:37,-41.4122,175.5153,51.03,82,100,1.92
230,Hobyo,SO,2021-10-03 15:58:37,5.3505,48.5268,79.45,83,50,21.45
231,Sobolevo,RU,2021-10-03 15:58:38,54.4299,31.8996,46.44,78,97,6.58
232,Vikesa,NO,2021-10-03 15:58:38,58.6376,6.0913,56.3,80,100,12.33
233,Vao,NC,2021-10-03 15:58:38,-22.6667,167.4833,71.49,91,2,4.81
234,Pimenta Bueno,BR,2021-10-03 15:57:46,-11.6725,-61.1936,99.95,32,54,4.32
235,San Quintin,MX,2021-10-03 15:56:32,30.4833,-115.95,78.85,39,97,1.63
236,Mao,ES,2021-10-03 15:58:39,39.8885,4.2658,77.56,78,40,16.11
237,Marshall,US,2021-10-03 15:58:39,34.3834,-86.3333,71.71,85,75,3.0
238,Gisborne,NZ,2021-10-03 15:58:40,-38.6533,178.0042,53.94,81,100,5.3
239,Majene,ID,2021-10-03 15:58:40,-3.5403,118.9707,77.77,87,100,5.44
240,Los Llanos De Aridane,ES,2021-10-03 15:58:41,28.6585,-17.9182,73.15,69,40,13.8
241,Mayor Pablo Lagerenza,PY,2021-10-03 15:58:41,-19.9309,-60.7718,93.34,38,100,11.32
242,Roebourne,AU,2021-10-03 15:58:42,-20.7833,117.1333,71.96,53,0,10.67
243,Braintree,GB,2021-10-03 15:58:42,51.8782,0.5529,61.45,75,24,17.4
244,Kensington,AU,2021-10-03 15:58:42,-33.9167,151.2167,66.31,75,0,0.0
245,Mineiros,BR,2021-10-03 15:58:43,-17.5694,-52.5511,97.63,23,28,14.0
246,Pisco,PE,2021-10-03 15:58:43,-13.7,-76.2167,64.02,82,97,6.35
247,Georgetown,MY,2021-10-03 15:55:14,5.4112,100.3354,84.88,85,20,1.99
248,Kodiak,US,2021-10-03 15:55:15,57.79,-152.4072,36.91,65,1,16.11
249,La Ronge,CA,2021-10-03 15:58:44,55.1001,-105.2842,52.05,54,40,4.61
250,Rio Cuarto,AR,2021-10-03 15:58:44,-33.1307,-64.3499,62.37,23,0,13.8
251,Ziarat,PK,2021-10-03 15:58:45,30.3823,67.7282,61.2,25,3,6.04
252,Mehamn,NO,2021-10-03 15:58:45,71.0357,27.8492,51.75,62,20,23.02
253,Maldonado,UY,2021-10-03 15:58:45,-34.6667,-54.9167,56.59,55,54,15.46
254,Marquette,US,2021-10-03 15:58:46,46.5333,-87.6335,61.36,97,100,4.92
255,Santa Rosa,PH,2021-10-03 15:58:46,14.3122,121.1114,82.38,83,84,6.53
256,Pueblo,US,2021-10-03 15:55:23,38.2545,-104.6091,73.74,51,1,1.01
257,Karpathos,GR,2021-10-03 15:58:47,35.507,27.2132,69.76,64,20,31.07
258,Padang,ID,2021-10-03 15:58:47,-0.9492,100.3543,78.85,87,98,2.64
259,Lorengau,PG,2021-10-03 15:58:47,-2.0226,147.2712,79.27,80,3,3.27
260,Sterling,US,2021-10-03 15:58:48,39.0062,-77.4286,82.71,67,1,1.99
261,Mount Pleasant,US,2021-10-03 15:58:48,32.7941,-79.8626,80.01,79,40,4.0
262,Chara,RU,2021-10-03 15:58:48,56.9064,118.2631,29.3,71,14,2.86
263,Oranjemund,NA,2021-10-03 15:58:49,-28.55,16.4333,57.83,60,0,28.12
264,Erzin,TR,2021-10-03 15:58:49,36.9559,36.2,81.12,64,0,8.12
265,Auki,SB,2021-10-03 15:58:50,-8.7676,160.7034,76.55,88,31,2.17
266,Touros,BR,2021-10-03 15:58:50,-5.1989,-35.4608,88.7,61,39,19.26
267,Aguimes,ES,2021-10-03 15:58:50,27.9054,-15.4461,76.66,62,20,28.77
268,Luanda,AO,2021-10-03 15:54:24,-8.8368,13.2343,78.8,69,40,9.22
269,Kiunga,PG,2021-10-03 15:58:51,-6.1219,141.2906,69.82,99,76,0.58
270,Klaksvik,FO,2021-10-03 15:57:53,62.2266,-6.589,49.12,88,100,32.46
271,Hay River,CA,2021-10-03 15:58:51,60.8156,-115.7999,39.18,60,20,11.5
272,Morant Bay,JM,2021-10-03 15:58:52,17.8815,-76.4093,87.42,68,9,12.73
273,Alice Springs,AU,2021-10-03 15:54:02,-23.7,133.8833,60.35,36,0,0.0
274,Nizhnevartovsk,RU,2021-10-03 15:58:52,60.9344,76.5531,33.82,93,0,6.71
275,Turayf,SA,2021-10-03 15:58:53,31.6725,38.6637,82.65,36,0,13.8
276,Hovd,MN,2021-10-03 15:58:53,48.0056,91.6419,34.93,35,3,3.15
277,Broome,US,2021-10-03 15:58:43,42.2506,-75.833,63.7,74,100,1.01
278,Isangel,VU,2021-10-03 15:58:54,-19.55,169.2667,77.11,83,19,3.44
279,Gravdal,NO,2021-10-03 15:58:54,68.1214,13.5031,57.09,51,75,16.11
280,Pemba,MZ,2021-10-03 15:58:54,-12.974,40.5178,81.3,69,20,17.0
281,Konstantinovskiy,RU,2021-10-03 15:58:55,57.8301,39.5899,44.31,75,100,3.58
282,Miyako,JP,2021-10-03 15:58:55,39.6367,141.9525,60.58,89,9,8.55
283,Kattivakkam,IN,2021-10-03 15:58:56,13.2167,80.3167,82.49,76,10,7.85
284,Kamaishi,JP,2021-10-03 15:58:56,39.2667,141.8833,63.1,87,2,9.93
285,Kosino,RU,2021-10-03 15:58:56,58.4127,51.2782,42.6,64,100,4.81
286,Bilibino,RU,2021-10-03 15:58:57,68.0546,166.4372,15.42,98,96,2.66
287,Kota Belud,MY,2021-10-03 15:58:57,6.351,116.4305,76.86,87,94,7.38
288,Goundam,ML,2021-10-03 15:58:58,16.4145,-3.6708,102.09,12,87,5.03
289,La Cruz,MX,2021-10-03 15:58:58,23.9167,-106.9,83.97,69,87,1.48
290,Fukue,JP,2021-10-03 15:58:58,32.6881,128.8419,77.18,75,1,19.84
