City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Ariquemes,BR,-9.9133,-63.0408,73.49,97,100,6.2,moderate rain
201,Morondava,MG,-20.2833,44.2833,76.01,64,0,11.03,clear sky
202,La Ligua,CL,-32.4524,-71.2311,53.38,57,0,5.37,clear sky
203,Clyde River,CA,70.4692,-68.5914,34.03,100,90,5.75,fog
204,Xai-Xai,MZ,-25.0519,33.6442,70.68,88,86,8.84,light rain
205,Umm Lajj,SA,25.0213,37.2685,80.19,64,0,11.34,clear sky
206,Khandyga,RU,62.6667,135.6,26.15,97,99,4.68,light snow
207,Buala,SB,-8.145,159.5921,83.41,72,71,7.4,light rain
208,Najran,SA,17.4924,44.1277,77.65,18,94,3.62,overcast clouds
209,Vila Velha,BR,-20.3297,-40.2925,73.35,88,20,11.5,few clouds
210,Nome,US,64.5011,-165.4064,44.67,93,90,10.36,mist
211,Sonoita,MX,31.85,-112.8333,90.54,32,31,15.97,scattered clouds
212,Kharan,PK,28.5833,65.4167,75.81,11,13,3.24,few clouds
213,Muncar,ID,-8.4333,114.3333,73.51,87,98,5.73,overcast clouds
214,Abu Kamal,SY,34.4506,40.9171,71.19,26,0,3.62,clear sky
215,Tasiilaq,GL,65.6145,-37.6368,25.23,80,16,6.69,few clouds
216,Marsh Harbour,BS,26.5412,-77.0636,82.38,71,27,6.87,scattered clouds
217,Castro,BR,-24.7911,-50.0119,61.16,89,93,8.7,overcast clouds
218,Constitucion,CL,-35.3333,-72.4167,58.23,66,99,14.56,overcast clouds
219,Lata,PT,40.1629,-8.3327,62.08,97,6,2.13,clear sky
220,Bredasdorp,ZA,-34.5322,20.0403,58.32,82,8,10.36,clear sky
221,Bani Walid,LY,31.7566,13.9942,70.65,64,0,8.79,clear sky
222,Gari,RU,59.4307,62.3497,33.4,89,100,4.68,overcast clouds
223,Lorengau,PG,-2.0226,147.2712,79.66,85,100,5.97,heavy intensity rain
224,Kaitangata,NZ,-46.2817,169.8464,55.18,88,100,13.42,light rain
225,Deer Lake,CA,49.1667,-57.4316,49.86,66,1,5.75,clear sky
226,Kismayo,SO,-0.3582,42.5454,76.87,85,89,16.44,overcast clouds
227,Ahuimanu,US,21.4447,-157.8378,83.86,60,20,16.11,few clouds
228,Lebu,CL,-37.6167,-73.65,49.84,66,0,23.55,clear sky
229,Colesberg,ZA,-30.72,25.0972,53.62,33,1,12.59,clear sky
230,Burns Lake,CA,54.2331,-125.7533,36.82,81,100,8.48,overcast clouds
231,Grenfell,AU,-33.9,148.1667,50.81,65,0,3.47,clear sky
232,Nanortalik,GL,60.1432,-45.2371,38.21,72,0,9.06,clear sky
233,Dinghai,CN,26.2847,119.7936,79.72,83,34,18.28,scattered clouds
234,Rongcheng,CN,30.634,117.8517,69.69,88,93,2.51,overcast clouds
235,Rocha,UY,-34.4833,-54.3333,56.41,73,0,6.96,clear sky
236,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,90,100,12.73,overcast clouds
237,Makakilo City,US,21.3469,-158.0858,82.69,56,75,11.5,broken clouds
238,Ericeira,PT,38.9627,-9.4156,68.31,97,97,10.29,overcast clouds
239,Ucluelet,CA,48.9329,-125.5528,53.04,91,97,6.96,overcast clouds
240,Forrest City,US,35.0081,-90.7898,77.95,63,100,10.45,overcast clouds
241,Hvide Sande,DK,56.0045,8.1294,54.09,92,79,14.83,broken clouds
242,Southbridge,US,42.0751,-72.0334,59.36,95,100,3.22,overcast clouds
243,Olafsvik,IS,64.8945,-23.7142,40.35,71,94,13.44,overcast clouds
244,Balkanabat,TM,39.5108,54.3671,60.66,32,8,19.69,clear sky
245,Vestmannaeyjar,IS,63.4427,-20.2734,43.47,92,100,25.61,overcast clouds
246,Yumen,CN,40.2833,97.2,46.38,51,6,6.64,clear sky
247,Emmaus,US,40.5395,-75.4968,66.96,91,90,4.61,overcast clouds
248,Norman Wells,CA,65.282,-126.8329,32.04,86,75,10.36,broken clouds
249,Khatanga,RU,71.9667,102.5,29.32,98,100,8.03,light snow
250,Avera,US,33.194,-82.5271,77.72,77,100,4.99,overcast clouds
251,Maxixe,MZ,-23.8597,35.3472,69.82,90,13,7.02,few clouds
252,Masuda,JP,34.6667,131.85,67.35,72,77,4.05,broken clouds
253,Cabra,ES,37.4725,-4.4421,66.4,59,100,2.39,overcast clouds
254,Turukhansk,RU,65.8167,87.9833,33.91,99,100,14.97,light rain
255,Hella,NO,67.2,14.4333,53.89,76,40,24.16,scattered clouds
256,Guaxupe,BR,-21.3053,-46.7128,75.83,65,71,1.32,broken clouds
257,Paoua,CF,7.2427,16.4406,69.12,95,98,2.55,overcast clouds
258,Jibuti,DJ,11.5,42.5,87.46,43,94,0.94,overcast clouds
259,Ust-Kuyga,RU,70.0167,135.6,22.44,83,100,10.22,overcast clouds
260,Lahaina,US,20.8783,-156.6825,85.95,67,0,9.04,clear sky
261,Tiznit,MA,29.5833,-9.5,75.47,38,97,2.37,overcast clouds
262,Vaasa,FI,63.096,21.6158,50.95,93,75,3.44,broken clouds
263,Karaton,ID,-6.3424,106.1045,77.95,87,100,5.21,moderate rain
264,Tazovskiy,RU,67.4667,78.7,40.37,96,100,18.14,light rain
265,Dotnuva,LT,55.35,23.9,54.48,57,18,20.13,few clouds
266,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,89,100,5.66,overcast clouds
267,Luanda,AO,-8.8368,13.2343,73.4,78,20,9.22,few clouds
268,Vostok,RU,46.4856,135.8833,31.71,77,0,3.56,clear sky
269,Bandarbeyla,SO,9.4942,50.8122,77.86,86,80,20.02,broken clouds
270,Mwinilunga,ZM,-11.7358,24.4293,64.27,95,99,2.84,moderate rain
271,Buin,CL,-33.7333,-70.75,75.52,33,0,5.59,clear sky
272,Hamilton,US,39.1834,-84.5333,81.05,66,40,1.01,scattered clouds
273,Shangzhi,CN,45.2167,127.9667,40.89,73,100,3.58,overcast clouds
274,Luderitz,NA,-26.6481,15.1594,57.0,77,0,6.02,clear sky
275,Killybegs,IE,54.6333,-8.45,44.46,79,98,7.0,overcast clouds
276,Ekuvukeni,ZA,-28.4675,30.1551,59.34,85,71,2.95,broken clouds
277,Uruguaiana,BR,-29.7547,-57.0883,71.53,53,0,5.75,clear sky
278,Kharp,RU,66.8014,65.8081,37.33,94,91,8.66,overcast clouds
279,Valenca,BR,-13.3703,-39.0731,73.44,89,99,4.63,overcast clouds
280,Adelaide,AU,-34.9333,138.6,65.19,42,0,1.99,clear sky
281,Benguela,AO,-12.5763,13.4055,69.93,80,74,3.58,broken clouds
282,Fukue,JP,32.6881,128.8419,76.21,65,0,11.5,clear sky
283,Sarkand,KZ,45.41,79.9186,33.58,93,100,5.86,light rain
284,Flin Flon,CA,54.7682,-101.865,57.04,28,75,11.5,broken clouds
285,Svetlyy,RU,54.675,20.1347,59.05,48,6,23.71,clear sky
286,Leningradskiy,RU,69.3833,178.4167,30.16,98,100,8.61,light snow
287,Codrington,AU,-38.2667,141.9667,49.1,80,35,10.89,scattered clouds
288,Larsnes,NO,62.2028,5.5773,53.6,90,100,4.7,overcast clouds
289,Asfi,MA,32.2994,-9.2372,69.12,67,82,18.19,broken clouds
290,Srivardhan,IN,18.0333,73.0167,80.29,87,96,4.09,light rain
291,Yamada,JP,39.4667,141.95,59.68,91,100,9.53,overcast clouds
292,Wamba,NG,8.9333,8.6,75.74,86,92,2.42,light rain
293,Manzhouli,CN,49.6,117.4333,37.06,56,100,5.57,overcast clouds
294,Riyadh,SA,24.6877,46.7219,84.34,27,19,5.84,few clouds
295,Scottsbluff,US,41.8666,-103.6672,84.78,18,1,8.99,clear sky
296,Tynda,RU,55.1667,124.7167,20.8,86,12,3.65,few clouds
297,Ancud,CL,-41.8697,-73.8203,53.13,58,1,7.14,clear sky
298,Lompoc,US,34.6391,-120.4579,82.22,68,1,19.57,clear sky
299,Hambantota,LK,6.1241,81.1185,75.54,100,0,5.75,clear sky
300,Ponta Delgada,PT,37.7333,-25.6667,75.51,94,75,8.05,broken clouds
301,Leua,SK,48.2156,18.6071,65.5,55,100,10.58,overcast clouds
302,Shieli,KZ,44.1667,66.75,36.73,48,14,20.38,few clouds
303,Barneveld,NL,52.1333,5.5833,53.96,89,34,15.01,scattered clouds
304,Changji,CN,44.0167,87.3167,47.19,53,0,2.24,clear sky
305,Tacoronte,ES,28.4769,-16.4102,65.75,75,20,13.0,few clouds
306,Porto Seguro,BR,-16.4497,-39.0647,77.52,83,20,10.36,few clouds
307,Laguna,US,38.421,-121.4238,88.23,22,1,7.0,clear sky
308,Kristianstad,SE,56.0313,14.1524,57.94,100,90,5.01,mist
309,Jaypur,IN,18.85,82.5833,70.12,93,7,4.38,clear sky
310,Clarence Town,AU,-32.5833,151.7833,62.15,40,1,7.31,clear sky
311,Evensk,RU,61.95,159.2333,30.11,51,100,13.2,overcast clouds
312,Tambun,ID,-6.2641,107.0712,79.48,75,98,3.4,light rain
313,Maceio,BR,-9.6658,-35.7353,78.24,83,0,8.05,clear sky
314,Vanimo,PG,-2.6741,141.3028,78.58,89,75,4.43,broken clouds
315,Bogotol,RU,56.2078,89.5342,27.97,86,30,7.85,scattered clouds
316,Muli,MV,2.9167,73.5667,83.34,76,99,16.84,overcast clouds
317,Baishishan,CN,43.5833,127.5667,41.52,73,97,1.63,overcast clouds
318,Pozoblanco,ES,38.3791,-4.8483,55.98,72,57,2.33,broken clouds
319,Byron Bay,AU,-28.65,153.6167,73.06,43,0,7.99,clear sky
320,San Cristobal,VE,7.7669,-72.225,82.58,76,84,3.98,broken clouds
321,Airai,TL,-8.9266,125.4092,61.75,56,79,2.06,broken clouds
322,Mapastepec,MX,15.4333,-92.9,85.86,76,37,3.6,scattered clouds
323,Ola,RU,59.5833,151.2833,27.3,54,0,10.38,clear sky
324,Yarim,YE,14.298,44.3779,59.63,63,34,0.74,scattered clouds
325,Westport,US,41.1415,-73.3579,64.8,87,74,5.99,broken clouds
326,Grass Valley,US,39.2191,-121.0611,80.56,25,75,4.0,broken clouds
327,Poum,NC,-20.2333,164.0167,75.22,78,0,6.64,clear sky
328,Ulaangom,MN,49.9811,92.0667,35.51,60,94,1.99,overcast clouds
329,Asau,RO,46.4333,26.4,42.76,68,0,1.83,clear sky
330,Mazamari,PE,-11.3258,-74.5308,78.49,75,100,1.05,overcast clouds
331,Cabinda,AO,-5.55,12.2,76.28,76,100,7.07,overcast clouds
332,Montemor-O-Novo,PT,38.6481,-8.2145,63.81,89,94,5.28,overcast clouds
333,Port Hardy,CA,50.6996,-127.4199,48.2,100,90,5.75,moderate rain
334,Seoul,KR,37.5683,126.9778,71.08,97,90,3.44,overcast clouds
335,Maragogi,BR,-9.0122,-35.2225,75.13,79,57,6.73,broken clouds
